field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
110,1284,1.37702220298363320e-01,1.37702220284720400e-01,-1.36429201269550049e-11
111,1285,1.35927534197234245e-01,1.35927534178634707e-01,-1.85995385759696319e-11
112,1286,1.34159141843389423e-01,1.34159141820742622e-01,-2.26468011010894088e-11
113,1287,1.32388104163923881e-01,1.32388104142250690e-01,-2.16731910196443778e-11
114,1288,1.30615873507054864e-01,1.30615873488043155e-01,-1.90117088738617213e-11
115,1289,1.28847751875493993e-01,1.28847751864987536e-01,-1.05064568156620908e-11
116,1290,1.27073614984313382e-01,1.27073614986551064e-01,2.23768226170761864e-12
117,1291,1.25299577841743698e-01,1.25299577847445387e-01,5.70168912084056956e-12
118,1292,1.23532137078636486e-01,1.23532137096700620e-01,1.80641335223441502e-11
119,1293,1.21757390785569436e-01,1.21757390809395558e-01,2.38261216312096735e-11
120,1294,1.19986661484927246e-01,1.19986661516796933e-01,3.18696874446189327e-11
121,1295,1.18216264622385978e-01,1.18216264655172557e-01,3.27865790072934260e-11
122,1296,1.16442536657350507e-01,1.16442536696358706e-01,3.90081994483537642e-11
123,1297,1.14677477181111917e-01,1.14677477224204946e-01,4.30930291450692948e-11
124,1298,1.12899677633661766e-01,1.12899677671177007e-01,3.75152409137768927e-11
125,1299,1.11133826619058171e-01,1.11133826647388245e-01,2.83300743975090086e-11
126,1300,1.09359153761717842e-01,1.09359153779374357e-01,1.76565151388530239e-11
127,1301,1.07585430824856706e-01,1.07585430838916307e-01,1.40596007058846340e-11
128,1302,1.05814414127756037e-01,1.05814414134244680e-01,6.48864295627049614e-12
129,1303,1.04048330711625919e-01,1.04048330716363630e-01,4.73771022413416176e-12
130,1304,1.02276020126413361e-01,1.02276020134328557e-01,7.91519627618697541e-12
131,1305,1.00500232421741068e-01,1.00500232431526962e-01,9.78589431710474855e-12
132,1306,9.87340884368392430e-02,9.87340884590352380e-02,2.21959950419403640e-11
133,1307,9.69621991289241619e-02,9.69621991584461856e-02,2.95220237145343845e-11
134,1308,9.51912161790432476e-02,9.51912162048444560e-02,2.58012083920178270e-11
135,1309,9.34180662928929678e-02,9.34180663153736379e-02,2.24806701032420619e-11
136,1310,9.16451718879153499e-02,9.16451719141667120e-02,2.62513621951399045e-11
137,1311,8.98769156210467990e-02,8.98769156509994643e-02,2.99526653479986749e-11
138,1312,8.81071292943533396e-02,8.81071293306111003e-02,3.62577606827230170e-11
139,1313,8.63376751508769802e-02,8.63376751822292759e-02,3.13522957595679941e-11
