node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
72,-1.00000000000000000e+01,6.24999999999999911e+00,-2.00000000000000000e+00,3.00005822054697376e+02,3.00005822054697319e+02,-5.68434188608080149e-14
73,-1.00000000000000000e+01,7.49999999999999911e+00,-2.00000000000000000e+00,3.00004876836982135e+02,3.00004876836982362e+02,2.27373675443232059e-13
74,-1.00000000000000000e+01,8.75000000000000000e+00,-2.00000000000000000e+00,3.00004089033104947e+02,3.00004089033105004e+02,5.68434188608080149e-14
75,-1.00000000000000000e+01,-8.75000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
76,-1.00000000000000000e+01,-7.49999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
77,-1.00000000000000000e+01,-6.24999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
78,-1.00000000000000000e+01,-5.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
79,-1.00000000000000000e+01,-3.74999999999999956e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
80,-1.00000000000000000e+01,-2.50000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
81,-1.00000000000000000e+01,-1.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
82,-1.00000000000000000e+01,0.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
83,-1.00000000000000000e+01,1.25000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
84,-1.00000000000000000e+01,2.50000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
85,-1.00000000000000000e+01,3.74999999999999956e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
86,-1.00000000000000000e+01,5.00000000000000000e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
87,-1.00000000000000000e+01,6.24999999999999911e+00,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
