node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
28,6.00000000000000000e+00,-1.46957615897682395e-15,2.35999999999999988e+00,4.42466386758928707e+02,4.42466386739938287e+02,-1.89904199032753240e-08
29,6.00000000000000000e+00,-1.46957615897682395e-15,2.21999999999999975e+00,4.42518449966165917e+02,4.42518449946723479e+02,-1.94424387700564694e-08
30,5.00000000000001665e-01,-5.97913037155069826e+00,2.21999999999999975e+00,4.17302617524706136e+02,4.17302617526209303e+02,1.50316736835520715e-09
31,5.00000000000001665e-01,-5.97913037155069826e+00,2.35999999999999988e+00,4.18276015442488017e+02,4.18276015444042798e+02,1.55478119268082082e-09
32,-5.00000000000003775e-01,-5.97913037155069826e+00,2.35999999999999988e+00,4.19338469462355079e+02,4.19338469462021578e+02,-3.33500338456360623e-10
33,-5.00000000000003775e-01,-5.97913037155069826e+00,2.21999999999999975e+00,4.18035557084387335e+02,4.18035557084002505e+02,-3.84829945687670261e-10
34,4.99999999999999445e-01,-3.96862696659688563e+00,2.21999999999999975e+00,4.28265516734978064e+02,4.28265516745022182e+02,1.00441184258670546e-08
35,4.00000000000000000e+00,-9.79717439317882566e-16,2.21999999999999975e+00,4.60209819817697621e+02,4.60209819882706654e+02,6.50090328235819470e-08
36,-5.00000000000000888e-01,-3.96862696659688563e+00,2.21999999999999975e+00,4.28355374951203430e+02,4.28355374946563927e+02,-4.63950300400028937e-09
37,4.99999999999999445e-01,-3.96862696659688563e+00,2.35999999999999988e+00,4.28750813598454158e+02,4.28750813608514761e+02,1.00606030173366889e-08
38,4.00000000000000000e+00,-9.79717439317882566e-16,2.35999999999999988e+00,4.60425013385732655e+02,4.60425013450952349e+02,6.52196945338801015e-08
39,-5.00000000000000888e-01,-3.96862696659688563e+00,2.35999999999999988e+00,4.28781742250666980e+02,4.28781742245926637e+02,-4.74034322905936278e-09
40,-7.50000000000000000e-01,-5.75000000000000000e+00,2.79999999999999982e+00,4.27597485349549231e+02,4.27597485350369652e+02,8.20421064418042079e-10
41,-7.50000000000000000e-01,-5.75000000000000000e+00,2.35999999999999988e+00,4.26726761947003808e+02,4.26726761947449688e+02,4.45879777544178069e-10
42,-7.50000000000000000e-01,-4.25000000000000000e+00,2.79999999999999982e+00,4.30373464518671597e+02,4.30373464517456682e+02,-1.21491439131204970e-09
43,-7.50000000000000000e-01,-4.25000000000000000e+00,2.35999999999999988e+00,4.31545961579780396e+02,4.31545961576201535e+02,-3.57886165147647262e-09
44,-5.00000000000000000e-01,-5.75000000000000000e+00,2.79999999999999982e+00,4.27579490186277667e+02,4.27579490187079728e+02,8.02060640126001090e-10
45,-5.00000000000000000e-01,-5.75000000000000000e+00,2.35999999999999988e+00,4.26749493965883460e+02,4.26749493966589341e+02,7.05881575413513929e-10
46,-5.00000000000000000e-01,-4.25000000000000000e+00,2.79999999999999982e+00,4.30329344109209330e+02,4.30329344108068995e+02,-1.14033582576666959e-09
47,-5.00000000000000000e-01,-4.25000000000000000e+00,2.35999999999999988e+00,4.30458214569745223e+02,4.30458214567492178e+02,-2.25304574996698648e-09
48,5.00000000000000000e-01,-5.75000000000000000e+00,2.79999999999999982e+00,4.27571334419766629e+02,4.27571334423532903e+02,3.76627440346055664e-09
49,5.00000000000000000e-01,-5.75000000000000000e+00,2.35999999999999988e+00,4.26750601024917728e+02,4.26750601028185542e+02,3.26781446347013116e-09
50,5.00000000000000000e-01,-4.25000000000000000e+00,2.79999999999999982e+00,4.30341297645264490e+02,4.30341297653233312e+02,7.96882204667781480e-09
51,5.00000000000000000e-01,-4.25000000000000000e+00,2.35999999999999988e+00,4.30441086862693851e+02,4.30441086871226616e+02,8.53276560519589111e-09
52,7.50000000000000000e-01,-5.75000000000000000e+00,2.79999999999999982e+00,4.27588183942672686e+02,4.27588183946418610e+02,3.74592445950838737e-09
53,7.50000000000000000e-01,-5.75000000000000000e+00,2.35999999999999988e+00,4.26727036304835451e+02,4.26727036307577805e+02,2.74235389952082187e-09
54,7.50000000000000000e-01,-4.25000000000000000e+00,2.79999999999999982e+00,4.30395500773376284e+02,4.30395500781399278e+02,8.02299382485216483e-09
55,7.50000000000000000e-01,-4.25000000000000000e+00,2.35999999999999988e+00,4.31486289230003365e+02,4.31486289239515713e+02,9.51234824242419563e-09
56,-1.00000000000000000e+01,-1.00000000000000000e+01,2.79999999999999982e+00,3.20918981749055206e+02,3.20918981747946873e+02,-1.10833298094803467e-09
57,-1.00000000000000000e+01,1.00000000000000000e+01,2.79999999999999982e+00,3.22351312191065631e+02,3.22351312191147599e+02,8.19682099972851574e-11
58,1.00000000000000000e+01,-1.00000000000000000e+01,2.79999999999999982e+00,3.21024380715371535e+02,3.21024380715354596e+02,-1.69393388205207884e-11
59,1.00000000000000000e+01,1.00000000000000000e+01,2.79999999999999982e+00,3.22302447076321300e+02,3.22302447077693955e+02,1.37265487865079194e-09
60,-1.00000000000000000e+01,-8.75000000000000000e+00,-2.00000000000000000e+00,3.00033896421546615e+02,3.00033896421544966e+02,-1.64845914696343243e-12
61,-1.00000000000000000e+01,-7.49999999999999911e+00,-2.00000000000000000e+00,3.00041233570594557e+02,3.00041233570592908e+02,-1.64845914696343243e-12
62,-1.00000000000000000e+01,-6.24999999999999911e+00,-2.00000000000000000e+00,3.00049802867012602e+02,3.00049802867009987e+02,-2.61479726759716868e-12
63,-1.00000000000000000e+01,-5.00000000000000000e+00,-2.00000000000000000e+00,3.00055584890234627e+02,3.00055584890230250e+02,-4.37694325228221714e-12
64,-1.00000000000000000e+01,-3.74999999999999956e+00,-2.00000000000000000e+00,3.00060959417962863e+02,3.00060959417958259e+02,-4.60431692772544920e-12
65,-1.00000000000000000e+01,-2.50000000000000000e+00,-2.00000000000000000e+00,3.00063131087883392e+02,3.00063131087879242e+02,-4.14956957683898509e-12
66,-1.00000000000000000e+01,-1.25000000000000000e+00,-2.00000000000000000e+00,3.00064391349398591e+02,3.00064391349393418e+02,-5.17275111633352935e-12
67,-1.00000000000000000e+01,0.00000000000000000e+00,-2.00000000000000000e+00,3.00071286783626476e+02,3.00071286783621701e+02,-4.77484718430787325e-12
68,-1.00000000000000000e+01,1.25000000000000000e+00,-2.00000000000000000e+00,3.00070077708876227e+02,3.00070077708871679e+02,-4.54747350886464119e-12
69,-1.00000000000000000e+01,2.50000000000000000e+00,-2.00000000000000000e+00,3.00066811451521573e+02,3.00066811451518106e+02,-3.46744855050928891e-12
