cell_id,node_0,node_1,node_2,node_3,region_id,region_name
119,5654,5605,5972,4817,0,silica
120,5654,5972,6395,4817,0,silica
121,5656,5189,5655,4817,0,silica
122,6512,3652,3907,3653,0,silica
123,6395,5972,4818,4817,0,silica
124,5656,5189,5658,5655,0,silica
125,5656,5654,6395,4817,0,silica
126,5962,4885,5653,5657,0,silica
127,6566,6567,6568,3973,0,silica
128,5962,6047,5640,5188,0,silica
129,5656,6395,5660,4819,0,silica
130,6569,6570,6571,6415,0,silica
131,6040,4819,6395,4818,0,silica
132,6554,6572,6475,6573,0,silica
133,6541,6543,6574,6575,0,silica
134,6576,6465,6461,6577,0,silica
135,6578,6579,6580,6581,0,silica
136,5936,5945,6162,5289,0,silica
137,6582,6491,6471,6572,0,silica
138,5652,4815,1642,1641,0,silica
139,5656,6395,4819,4817,0,silica
140,6583,6584,6585,6586,0,silica
141,6460,6478,6587,6588,0,silica
142,6414,6589,6590,6591,0,silica
143,6068,6162,4885,5189,0,silica
144,4885,6162,5657,6062,0,silica
145,5936,5047,5289,5189,0,silica
146,6592,6593,6538,6594,0,silica
147,6595,359,2804,2782,0,silica
148,6596,6597,6598,6484,0,silica
149,6589,6599,6591,6600,0,silica
150,6601,6602,3854,3853,0,silica
151,6603,586,6604,6605,0,silica
152,6606,6607,6608,6609,0,silica
153,6604,6610,6611,6612,0,silica
154,6613,1092,3319,1093,0,silica
155,343,6614,6615,6616,0,silica
156,6489,6617,6557,6618,0,silica
157,6619,6620,6621,6622,0,silica
158,6623,6624,6625,6626,0,silica
159,3644,6564,3646,6627,0,silica
160,5652,5605,5653,4815,0,silica
161,6628,6629,6630,6631,0,silica
162,6632,6633,6634,6635,0,silica
163,6636,6637,1153,3400,0,silica
164,6638,3665,6639,3663,0,silica
165,6640,6641,6642,6643,0,silica
166,6644,5051,5302,5275,0,silica
167,6645,6646,2609,2631,0,silica
168,6647,6648,6649,6650,0,silica
169,6651,6652,6653,6654,0,silica
170,6655,6656,6657,6658,0,silica
171,6659,6660,6661,6662,0,silica
172,6663,6664,6665,6666,0,silica
173,6667,2458,355,249,0,silica
174,6668,6669,6670,6671,0,silica
175,1086,3312,6672,6673,0,silica
176,6493,6674,6675,6676,0,silica
177,6677,2135,6678,2133,0,silica
178,6460,3631,3632,4016,0,silica
179,6679,5261,4802,5237,0,silica
180,6680,6681,6682,6675,0,silica
181,6683,6684,6685,6686,0,silica
182,6566,6568,3937,3973,0,silica
183,2597,6687,588,6688,0,silica
184,5659,5674,5658,5189,0,silica
185,6576,6466,6465,6577,0,silica
186,6687,469,2507,586,0,silica
187,6448,6449,1159,6689,0,silica
188,6673,1088,3298,1089,0,silica
189,6690,6691,6692,6693,0,silica
190,6694,4796,5351,5268,0,silica
191,6695,6696,6697,2275,0,silica
192,6436,6698,6699,6566,0,silica
193,6598,6700,6701,6595,0,silica
194,6702,6703,6704,6705,0,silica
195,6632,6635,6706,6707,0,silica
196,5662,5663,4820,5664,0,silica
197,6708,6709,6710,6711,0,silica
198,472,589,2493,3234,0,silica
199,6700,2211,6712,2311,0,silica
200,6713,3639,3641,3638,0,silica
201,472,2512,589,3234,0,silica
202,6690,6691,4839,1352,0,silica
203,2493,589,590,1088,0,silica
204,6714,6715,6598,6484,0,silica
205,6716,588,6687,6688,0,silica
206,6717,6718,367,366,0,silica
207,6719,6497,6499,6500,0,silica
208,6569,6720,6721,6570,0,silica
209,2493,3234,589,1088,0,silica
210,6722,3302,3273,1078,0,silica
211,3583,6566,6698,6436,0,silica
212,6723,6724,6725,6726,0,silica
213,6727,6728,6729,6730,0,silica
214,6731,6604,6687,587,0,silica
215,6576,1551,6465,6467,0,silica
216,6732,6733,6734,6735,0,silica
217,6736,4171,6737,6738,0,silica
218,6739,6679,6740,6741,0,silica
219,6742,6743,6744,6745,0,silica
220,6746,6747,6590,6748,0,silica
221,5165,6749,6750,6751,0,silica
222,6752,6753,6754,940,0,silica
223,6755,6756,6757,6758,0,silica
224,6759,6760,6761,6762,0,silica
225,6763,299,298,2793,0,silica
226,6764,5125,5119,4838,0,silica
227,6598,362,2716,363,0,silica
228,1159,2493,3235,1088,0,silica
229,3235,2493,590,1088,0,silica
230,6701,592,1090,1091,0,silica
231,1159,1160,3235,473,0,silica
232,6765,4692,6766,4690,0,silica
233,6460,6588,6587,6767,0,silica
234,6375,6047,5950,5188,0,silica
235,6768,6414,6570,6497,0,silica
236,6646,256,257,2609,0,silica
237,6728,6769,6638,4338,0,silica
238,6770,6600,6771,6772,0,silica
239,3210,2513,474,1161,0,silica
240,6731,6688,6716,6687,0,silica
241,6489,6773,6774,6618,0,silica
242,6775,6439,6776,6777,0,silica
243,6778,1020,3335,1021,0,silica
244,592,593,2598,1091,0,silica
245,6779,6780,6781,3303,0,silica
246,6714,6782,6597,6783,0,silica
247,6784,6785,6786,6787,0,silica
248,6788,1525,4453,1617,0,silica
249,5947,5046,5949,5948,0,silica
250,6465,6467,1551,1552,0,silica
251,6789,6790,6432,6782,0,silica
252,1643,5248,4810,4813,0,silica
253,6484,6487,6486,6791,0,silica
254,6749,6792,6793,6794,0,silica
255,6694,6795,4790,4791,0,silica
256,6755,6796,6797,6798,0,silica
257,6755,6797,6799,6798,0,silica
258,6498,6500,6497,6800,0,silica
259,6060,5050,6375,5950,0,silica
260,6801,6802,6741,5261,0,silica
261,6803,6804,6805,6806,0,silica
262,6807,6582,6465,6475,0,silica
263,6606,6808,6575,6809,0,silica
264,6723,6810,6724,6726,0,silica
265,6811,1557,1558,3540,0,silica
266,6266,4476,4734,5043,0,silica
267,6812,5303,5170,4914,0,silica
268,6813,6814,6815,6816,0,silica
269,6554,6468,6817,6818,0,silica
270,6819,6820,6821,6822,0,silica
271,6823,6824,6825,6826,0,silica
272,6827,6629,6828,6630,0,silica
273,6829,3263,6830,957,0,silica
274,6544,6607,6782,6831,0,silica
275,6673,6716,1086,1087,0,silica
276,6832,4874,6833,4881,0,silica
277,477,2496,478,1164,0,silica
278,6834,6835,6836,262,0,silica
279,1090,592,591,2513,0,silica
280,6807,1553,6582,4298,0,silica
281,6837,5220,6524,5334,0,silica
282,6838,6839,3311,3267,0,silica
283,6840,2620,402,2607,0,silica
284,6838,3311,1095,1094,0,silica
285,6841,6839,6842,952,0,silica
286,6554,6572,6573,6556,0,silica
287,1097,6830,3317,6839,0,silica
288,6837,5066,4829,5220,0,silica
289,6598,6715,6843,6701,0,silica
290,6755,6844,6845,6758,0,silica
291,6846,4001,6847,3606,0,silica
