field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
194,1368,4.92815760439776096e-01,4.92815760504197675e-01,6.44215791822944084e-11
195,1369,4.87499952134563819e-01,4.87499952183763963e-01,4.92001439589273559e-11
196,1370,4.82171793455862696e-01,4.82171793472315424e-01,1.64527280688275823e-11
197,1371,4.76869488136840936e-01,4.76869488161497712e-01,2.46567766204464078e-11
198,1372,4.71575514535444773e-01,4.71575514548074448e-01,1.26296750835308558e-11
199,1373,4.66227944719519283e-01,4.66227944716925635e-01,-2.59364751897805945e-12
200,1374,4.60921472046753933e-01,4.60921472064917348e-01,1.81634152163212548e-11
201,1375,4.55614005224736607e-01,4.55614005214361517e-01,-1.03750896762733191e-11
202,1376,4.50311578723445294e-01,4.50311578723659789e-01,2.14495088357580244e-13
203,1377,4.44987402985107527e-01,4.44987402959678535e-01,-2.54289922452244355e-11
204,1378,4.39674492186622079e-01,4.39674492151050367e-01,-3.55717122424437093e-11
205,1379,4.34357929550620026e-01,4.34357929487223238e-01,-6.33967878194141576e-11
206,1380,4.29063138131598798e-01,4.29063138079209594e-01,-5.23892040860118868e-11
207,1381,4.23719191492192282e-01,4.23719191450671884e-01,-4.15203982306877606e-11
208,1382,4.18430379458311796e-01,4.18430379399217511e-01,-5.90942850209330572e-11
209,1383,4.13107803575645749e-01,4.13107803536204021e-01,-3.94417276616820800e-11
210,1384,4.07783081814490300e-01,4.07783081758630983e-01,-5.58593171717802761e-11
211,1385,4.02475163190995133e-01,4.02475163123477198e-01,-6.75179356868227387e-11
212,1386,3.97144303295459244e-01,3.97144303230647866e-01,-6.48113784862403008e-11
213,1387,3.91848284104626299e-01,3.91848284047255913e-01,-5.73703862194463454e-11
214,1388,3.86545144905025007e-01,3.86545144872813273e-01,-3.22117332807181356e-11
215,1389,3.81215962135746433e-01,3.81215962144129950e-01,8.38351610354948207e-12
216,1390,3.75900164945503934e-01,3.75900164960592698e-01,1.50887635719243463e-11
217,1391,3.70598784178790053e-01,3.70598784233029388e-01,5.42393352453984789e-11
218,1392,3.65276563111034069e-01,3.65276563183783598e-01,7.27495286234614014e-11
219,1393,3.59952855523613113e-01,3.59952855618489553e-01,9.48764400376944650e-11
220,1394,3.54649506872371123e-01,3.54649506969050954e-01,9.66798308077443380e-11
221,1395,3.49331418785952974e-01,3.49331418903174873e-01,1.17221898854324991e-10
222,1396,3.44006103096208660e-01,3.44006103226892568e-01,1.30683908139417326e-10
223,1397,3.38724147148525390e-01,3.38724147257740749e-01,1.09215358978786981e-10
224,1398,3.33377828692620448e-01,3.33377828776692142e-01,8.40716940508912103e-11
225,1399,3.28079295384563430e-01,3.28079295437793794e-01,5.32303645606191367e-11
226,1400,3.22774992299833197e-01,3.22774992341697486e-01,4.18642898125654028e-11
227,1401,3.17460577012967538e-01,3.17460577034085700e-01,2.11181627740586464e-11
228,1402,3.12143038436418829e-01,3.12143038450139798e-01,1.37209688055861534e-11
229,1403,3.06827400650789561e-01,3.06827400675133588e-01,2.43440267944095012e-11
230,1404,3.01503420627211416e-01,3.01503420658520038e-01,3.13086223613368020e-11
231,1405,2.96201908556097737e-01,2.96201908623269172e-01,6.71714350808372274e-11
232,1406,2.90888932306741788e-01,2.90888932393837729e-01,8.70959415699701367e-11
233,1407,2.85549555530221821e-01,2.85549555609517280e-01,7.92954590878025556e-11
