node_id,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
900,5.34999999999999964e+00,-2.24687766350514212e-01,3.54202669319935978e+02,3.54202669320165057e+02,2.29078978009056300e-10
901,5.34999999999999964e+00,-1.37747786983805687e-01,3.57189146109124010e+02,3.57189146109368664e+02,2.44654074776917696e-10
902,5.34999999999999964e+00,-6.85333804337044938e-02,3.59565792571138445e+02,3.59565792571396969e+02,2.58523868978954852e-10
903,5.34999999999999964e+00,7.33333333331483983e-02,3.62004993888096180e+02,3.62004993888373917e+02,2.77736944553907961e-10
904,5.34999999999999964e+00,1.46666666666476403e-01,3.62043157442842869e+02,3.62043157443120549e+02,2.77680101135047153e-10
905,5.34999999999999964e+00,2.90312256478860109e-01,3.65129556857612670e+02,3.65129556857884040e+02,2.71370481641497463e-10
906,5.34999999999999964e+00,3.60625403891530971e-01,3.67993068050172269e+02,3.67993068050441536e+02,2.69267275143647566e-10
907,5.34999999999999964e+00,4.43738971041236496e-01,3.71384861435901826e+02,3.71384861436169956e+02,2.68130406766431406e-10
908,5.34999999999999964e+00,5.58229848891344194e-01,3.76096524934906483e+02,3.76096524935174557e+02,2.68073563347570598e-10
909,5.34999999999999964e+00,7.15943665219980319e-01,3.82698937148646962e+02,3.82698937148916457e+02,2.69494648819090798e-10
910,5.34999999999999964e+00,9.33205804857537569e-01,3.92068765218921726e+02,3.92068765219195427e+02,2.73701061814790592e-10
911,5.34999999999999964e+00,1.23078565731116107e+00,4.05764150082979370e+02,4.05764150083262905e+02,2.83534973277710378e-10
912,5.34999999999999964e+00,1.50745476682354407e+00,4.19730313534404274e+02,4.19730313534700940e+02,2.96665803034557030e-10
913,5.34999999999999964e+00,1.70828700473330297e+00,4.30847233007503974e+02,4.30847233007813315e+02,3.09341885440517217e-10
914,5.34999999999999964e+00,1.85407924376148703e+00,4.39509584835469525e+02,4.39509584835788132e+02,3.18607362714828923e-10
915,5.34999999999999964e+00,1.95991576127837774e+00,4.46093833185807568e+02,4.46093833186133395e+02,3.25826476910151541e-10
916,5.34999999999999964e+00,2.03674678436114887e+00,4.51040567779446462e+02,4.51040567779778371e+02,3.31908722728257999e-10
917,5.34999999999999964e+00,2.09812542210288822e+00,4.55092007970036263e+02,4.55092007970373288e+02,3.37024630425730720e-10
918,5.34999999999999964e+00,2.15906271105148795e+00,4.59193139431411737e+02,4.59193139431753593e+02,3.41856321028899401e-10
919,5.34999999999999964e+00,2.26666666666666705e+00,4.63492726656322077e+02,4.63492726656669163e+02,3.47085915564093739e-10
920,5.34999999999999964e+00,2.31333333333315982e+00,4.63559647264785383e+02,4.63559647265132696e+02,3.47313289239536971e-10
921,5.34999999999999964e+00,2.41536059317736518e+00,4.63006313315883062e+02,4.63006313316230205e+02,3.47142758982954547e-10
922,5.34999999999999964e+00,2.47072118635578875e+00,4.62507378429149981e+02,4.62507378429496612e+02,3.46631168213207275e-10
923,5.34999999999999964e+00,2.52618008802006688e+00,4.62074106258015206e+02,4.62074106258361326e+02,3.46119577443460003e-10
924,5.34999999999999964e+00,2.59252432436104696e+00,4.61664726394258594e+02,4.61664726394604372e+02,3.45778516930295154e-10
925,5.34999999999999964e+00,2.68127516175129710e+00,4.61303110484126933e+02,4.61303110484472143e+02,3.45210082741687074e-10
926,5.84999999999999876e+00,-1.44476539932623704e+00,3.15846241296717267e+02,3.15846241296778828e+02,6.15614226262550801e-11
927,5.84999999999999876e+00,-1.03065575207776106e+00,3.27800921597701404e+02,3.27800921597810543e+02,1.09139364212751389e-10
928,5.84999999999999876e+00,-7.27637708582846487e-01,3.36848385468631477e+02,3.36848385468778133e+02,1.46656020660884678e-10
929,5.84999999999999876e+00,-5.05805696639437197e-01,3.43694340497549717e+02,3.43694340497726387e+02,1.76669345819391310e-10
930,5.84999999999999876e+00,-3.43483071998003098e-01,3.48869432951534407e+02,3.48869432951735405e+02,2.00998329091817141e-10
931,5.84999999999999876e+00,-2.24687766350514212e-01,3.52830703932773758e+02,3.52830703932994709e+02,2.20950369111960754e-10
932,5.84999999999999876e+00,-1.37747786983805687e-01,3.55879826103370078e+02,3.55879826103607286e+02,2.37207586906151846e-10
933,5.84999999999999876e+00,-6.85333804337044938e-02,3.58525757209758126e+02,3.58525757210010397e+02,2.52271092904265970e-10
934,5.84999999999999876e+00,7.33333333331483983e-02,3.61951649911701281e+02,3.61951649911976347e+02,2.75065303867449984e-10
935,5.84999999999999876e+00,1.46666666666476403e-01,3.62005909267239304e+02,3.62005909267514426e+02,2.75122147286310792e-10
936,5.84999999999999876e+00,2.90312256478860109e-01,3.64966875847283632e+02,3.64966875847550341e+02,2.66709321294911206e-10
937,5.84999999999999876e+00,3.60625403891530971e-01,3.67545510698740770e+02,3.67545510699003387e+02,2.62616595136933029e-10
938,5.84999999999999876e+00,4.43738971041236496e-01,3.70545570985585073e+02,3.70545570985845814e+02,2.60740762314526364e-10
939,5.84999999999999876e+00,5.58229848891344194e-01,3.74718301443855637e+02,3.74718301444115070e+02,2.59433363680727780e-10
940,5.84999999999999876e+00,7.15943665219980319e-01,3.80601840055600746e+02,3.80601840055860976e+02,2.60229171544779092e-10
